Titel;Album;Interpret;Jahr
All I Really Want To Do;Another Side Of Bob Dylan;Bob Dylan;1964
Ballad In Plain D;Another Side Of Bob Dylan;Bob Dylan;1964
Black Crow Blues;Another Side Of Bob Dylan;Bob Dylan;1964
Chimes Of Freedom;Another Side Of Bob Dylan;Bob Dylan;1964
I Don't Believe You;Another Side Of Bob Dylan;Bob Dylan;1964
I Shall Be Free - No. 10;Another Side Of Bob Dylan;Bob Dylan;1964
It Ain't Me Babe;Another Side Of Bob Dylan;Bob Dylan;1964
Motorpsycho Nitemare;Another Side Of Bob Dylan;Bob Dylan;1964
My Back Pages;Another Side Of Bob Dylan;Bob Dylan;1964
Spanish Harlem Incident;Another Side Of Bob Dylan;Bob Dylan;1964
To Ramona;Another Side Of Bob Dylan;Bob Dylan;1964
All Along The Watchtower (live);Before The Flood;Bob Dylan;1974
Ballad Of A Thin Man (live);Before The Flood;Bob Dylan;1974
Blowin' In The Wind;Before The Flood;Bob Dylan;1974
Don't Think Twice,It's All Right (live);Before The Flood;Bob Dylan;1974
Endless Highway (live);Before The Flood;Bob Dylan;1974
Highway 61 Revisited (live);Before The Flood;Bob Dylan;1974
I Shall Be Released (live);Before The Flood;Bob Dylan;1974
It Ain't Me Babe (live);Before The Flood;Bob Dylan;1974
It's Alright,Ma (I'm Only Bleeding) (live);Before The Flood;Bob Dylan;1974
Just Like A Woman (live);Before The Flood;Bob Dylan;1974
Knockin' On Heaven's Door (live);Before The Flood;Bob Dylan;1974
Lay Lady Lay (live);Before The Flood;Bob Dylan;1974
Like A Rolling Stone (live);Before The Flood;Bob Dylan;1974
Most Likely You Go Your Way And I'll Go Mine (live);Before The Flood;Bob Dylan;1974
Rainy Day Women #12 & 35 (live);Before The Flood;Bob Dylan;1974
Stage Fright (live);Before The Flood;Bob Dylan;1974
The Night They Drove Old Dixie Down (live);Before The Flood;Bob Dylan;1974
The Shape I'm In (live);Before The Flood;Bob Dylan;1974
The Weight (live);Before The Flood;Bob Dylan;1974
Up On Cripple Creek (live);Before The Flood;Bob Dylan;1974
When You Awake (live);Before The Flood;Bob Dylan;1974
Absolutely Sweet Marie;Blonde On Blonde;Bob Dylan;1966
Fourth Time Around;Blonde On Blonde;Bob Dylan;1966
I Want You;Blonde On Blonde;Bob Dylan;1966
Just Like A Woman;Blonde On Blonde;Bob Dylan;1966
Leopard-Skin Pill-Box Hat;Blonde On Blonde;Bob Dylan;1966
Most Likely You Go Your Way And I'll Go Mine;Blonde On Blonde;Bob Dylan;1966
Obviously Five Believers;Blonde On Blonde;Bob Dylan;1966
One Of Us Must Know;Blonde On Blonde;Bob Dylan;1966
Pledging My Time;Blonde On Blonde;Bob Dylan;1966
Rainy Day Women Nos. 12 + 35;Blonde On Blonde;Bob Dylan;1966
Sad Eyed Lady Of The Lowlands;Blonde On Blonde;Bob Dylan;1966
Stuck Inside Of Mobile With The Memphis Blues Again;Blonde On Blonde;Bob Dylan;1966
Temporary Like Achilles;Blonde On Blonde;Bob Dylan;1966
Visions Of Johanna;Blonde On Blonde;Bob Dylan;1966
Buckets Of Rain;Blood On The Tracks;Bob Dylan;1975
Idiot Wind;Blood On The Tracks;Bob Dylan;1975
If You See Her, Say Hello;Blood On The Tracks;Bob Dylan;1975
Lily, Rosemary And The Jack Of Hearts;Blood On The Tracks;Bob Dylan;1975
Meet Me In The Morning;Blood On The Tracks;Bob Dylan;1975
Shelter From The Storm;Blood On The Tracks;Bob Dylan;1975
Simple Twist Of Fate;Blood On The Tracks;Bob Dylan;1975
Tangled Up In Blue;Blood On The Tracks;Bob Dylan;1975
You're A Big Girl Now;Blood On The Tracks;Bob Dylan;1975
You're Gonna Make Me Lonesome When You Go;Blood On The Tracks;Bob Dylan;1975
Baby, Let Me Follow You Down;Bob Dylan;Bob Dylan;1962
